Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Make.and.Model,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total.Occupants,Aircraft.Size,Destroyed.Flag
20001206X02737,Accident,LAX95FA062,1994-12-27,"HOLTVILLE, CA",United States,,,IPL,IMPERIAL COUNTY AIRPORT,PIPER PA-28-140,Fatal(2),DESTROYED,Airplane,N4647R,PIPER,PA-28-140,No,1.0,RECIPROCATING,Part 91: General Aviation,,BUSINESS,,2.0,0.0,0.0,0.0,VMC,GO-AROUND,Probable Cause,17-08-2012,2.0,Small,1
20001207X03370,Accident,NYC95LA093,1995-04-24,"BANGOR, ME",United States,,,BGR,BANGOR INTERNATIONAL ARPT,CESSNA 185,Non-Fatal,SUBSTANTIAL,Airplane,N62EC,CESSNA,185,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,2.0,VMC,LANDING,Probable Cause,15-06-2015,2.0,Small,0
20001207X04527,Accident,LAX95LA335,1995-09-15,"BAKERSFIELD, CA",United States,,,,,PIPER PA-18-150,Non-Fatal,SUBSTANTIAL,Airplane,N7498L,PIPER,PA-18-150,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,1.0,VMC,CRUISE,Probable Cause,25-02-2010,1.0,Small,0
20001208X05343,Accident,ANC96LA033,1996-03-13,"CRIPPLE, AK",United States,,,,,CESSNA 185,Non-Fatal,SUBSTANTIAL,Airplane,N93829,CESSNA,185,No,1.0,RECIPROCATING,Part 135: Air Taxi & Commuter,NSCH,UNKNOWN,Hageland Aviation,0.0,0.0,0.0,1.0,VMC,LANDING,Probable Cause,13-10-2010,1.0,Small,0
20001208X06417,Accident,ATL96LA117,1996-08-07,"DAWSON, GA",United States,,,,,GRUMMAN G164,Non-Fatal,DESTROYED,Airplane,N8672H,GRUMMAN,G164,No,1.0,RECIPROCATING,Part 137: Agricultural,UNK,AERIAL APPLICATION,,0.0,0.0,0.0,1.0,VMC,TAKEOFF,Probable Cause,08-09-2015,1.0,Small,1
20001208X07660,Accident,ATL97FA060,1997-04-19,"ATHENS, GA",United States,,,,,BEECH C23,Fatal(1),DESTROYED,Airplane,N6005T,BEECH,C23,No,1.0,RECIPROCATING,Part 91: General Aviation,,UNKNOWN,,1.0,0.0,0.0,0.0,VMC,MANEUVERING,Probable Cause,28-10-2015,1.0,Small,1
20001208X07698,Accident,DCA97WA044,1997-04-30,,Cambodia,,,,,CESSNA 208,Fatal(2),DESTROYED,Airplane,N9825F,CESSNA,208,No,,UNKNOWN,Part 129: Foreign,UNK,UNKNOWN,,2.0,0.0,0.0,0.0,UNK,NAN,Foreign,,2.0,Small,1
20001208X08047,Accident,ANC97LA091,1997-06-26,"CHUGIAK, AK",United States,,,BCV,BIRCHWOOD,PIPER PA-18,Non-Fatal,SUBSTANTIAL,Airplane,N1386A,PIPER,PA-18,No,1.0,RECIPROCATING,Part 91: General Aviation,,INSTRUCTIONAL,,0.0,0.0,2.0,0.0,VMC,TAKEOFF,Probable Cause,15-12-2009,2.0,Small,0
20001208X08682,Accident,LAX97LA294,1997-08-18,"CHANDLER, AZ",United States,,,CHD,CHANDLER MUNICIPAL,PIPER PA-18-150,Non-Fatal,SUBSTANTIAL,Airplane,N57528,PIPER,PA-18-150,No,1.0,RECIPROCATING,Part 91: General Aviation,,INSTRUCTIONAL,,0.0,0.0,0.0,2.0,VMC,LANDING,Probable Cause,23-04-2010,2.0,Small,0
20001208X08838,Accident,FTW97LA338,1997-09-03,"SAGUACHE, CO",United States,,,,,BEECH V35B,Non-Fatal,SUBSTANTIAL,Airplane,N7397R,BEECH,V35B,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,1.0,VMC,CRUISE,Probable Cause,21-04-2016,1.0,Small,0
20001208X08803,Accident,CHI97FA308,1997-09-14,"St. Ignaces, MI",United States,45.928334,-84.825556,83D,Mackinac County,PIPER PA-28-235,Fatal(2),DESTROYED,Airplane,N9399W,PIPER,PA-28-235,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,2.0,0.0,0.0,0.0,IMC,UNKNOWN,Probable Cause,27-09-2019,2.0,Small,1
20001208X08986,Accident,DCA98MA002,1997-10-08,"MONTROSE, CO",United States,,,KMTJ,MONTROSE REGIONAL,CESSNA 208B,Fatal(9),DESTROYED,Airplane,N12022,CESSNA,208B,No,1.0,TURBOPROP,Part 135: Air Taxi & Commuter,NSCH,NAN,Scenic Airlines Inc,9.0,0.0,0.0,0.0,IMC,CLIMB,Probable Cause,20-12-2013,9.0,Small,1
20001208X09175,Accident,FTW98LA046,1997-11-07,"BROOMFIELD, CO",United States,,,BJC,JEFFERSON COUNTY,PIPER PA-22-150,Non-Fatal,SUBSTANTIAL,Airplane,N9607D,PIPER,PA-22-150,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,2.0,VMC,TAKEOFF,Probable Cause,01-02-2016,2.0,Small,0
20001211X09633,Accident,CHI98FA106,1998-03-21,"GRAIN VALLEY, MO",United States,,,3GV,GRAIN VALLEY AIRPORT,CESSNA U206G,Fatal(6),DESTROYED,Airplane,N506SD,CESSNA,U206G,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,6.0,0.0,0.0,0.0,VMC,CRUISE,Probable Cause,17-10-2016,6.0,Small,1
20001211X10470,Accident,ATL98LA092,1998-07-04,"GREEN SEA, SC",United States,,,,,CESSNA 182,Fatal(1),SUBSTANTIAL,Airplane,N7247E,CESSNA,182,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,1.0,0.0,0.0,4.0,VMC,CRUISE,Probable Cause,17-10-2016,5.0,Small,0
20001211X11142,Accident,MIA98WA258,1998-09-28,"MISSING, Bolivia",Bolivia,,,,,CESSNA U206G,Fatal(7),DESTROYED,Airplane,,CESSNA,U206G,No,,UNKNOWN,Part 91: General Aviation,,PERSONAL,,7.0,0.0,0.0,0.0,UNK,NAN,Foreign,,7.0,Small,1
20001212X19018,Accident,LAX99FA220,1999-06-19,"PASO ROBLES, CA",United States,,,PRB,PASO ROBLES MUNICIPAL,CESSNA 182A,Fatal(4),DESTROYED,Airplane,N4824D,CESSNA,182A,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,4.0,1.0,0.0,0.0,VMC,TAKEOFF,Probable Cause,17-10-2016,5.0,Small,1
20001212X19077,Accident,MIA99LA192,1999-06-30,"ROCK SPRINGS, NC",United States,,,,,CESSNA 182Q,Non-Fatal,SUBSTANTIAL,Airplane,N4784N,CESSNA,182Q,No,1.0,RECIPROCATING,Part 91: General Aviation,,INSTRUCTIONAL,,0.0,0.0,0.0,3.0,VMC,CLIMB,Probable Cause,21-04-2016,3.0,Small,0
20001212X19373,Accident,SEA99LA118,1999-07-14,"OPHEIM, MT",United States,,,,,PIPER PA-18-150,Fatal(1),SUBSTANTIAL,Airplane,N4385Z,PIPER,PA-18-150,No,1.0,RECIPROCATING,Part 137: Agricultural,UNK,AERIAL APPLICATION,,1.0,0.0,0.0,0.0,VMC,MANEUVERING,Probable Cause,12-12-2011,1.0,Small,0
20001212X19754,Accident,FTW99FA261,1999-09-18,"BRYAN, TX",United States,,,CFD,COULTER FIELD,CESSNA 182A,Fatal(5),DESTROYED,Airplane,N4803D,CESSNA,182A,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,5.0,0.0,0.0,0.0,VMC,TAKEOFF,Probable Cause,17-10-2016,5.0,Small,1
20001212X19784,Accident,IAD99LA068,1999-09-21,"FRIENDLY, MD",United States,,,VKX,POTOMAC AIRFIELD,CESSNA 172P,Non-Fatal,SUBSTANTIAL,Airplane,N63325,CESSNA,172P,No,1.0,RECIPROCATING,Part 91: General Aviation,,INSTRUCTIONAL,,0.0,0.0,0.0,2.0,IMC,TAKEOFF,Probable Cause,04-11-2009,2.0,Small,0
20001212X20032,Accident,NYC00LA009,1999-10-09,"BURKITTSVILLE, MD",United States,,,NONE,,GRUMMAN G164,Non-Fatal,SUBSTANTIAL,Airplane,N7856,GRUMMAN,G164,No,1.0,RECIPROCATING,Part 137: Agricultural,UNK,AERIAL APPLICATION,,0.0,0.0,2.0,0.0,VMC,TAKEOFF,Probable Cause,08-09-2015,2.0,Small,0
20001212X20487,Accident,FTW00FA083B,2000-02-16,"MCALESTER, OK",United States,,,MLC,MCALESTER REGIONAL,CESSNA 208B,Fatal(1),SUBSTANTIAL,Airplane,N9505B,CESSNA,208B,No,1.0,TURBOPROP,Part 135: Air Taxi & Commuter,NSCH,UNKNOWN,,1.0,0.0,0.0,1.0,VMC,MANEUVERING,Probable Cause,28-01-2010,2.0,Small,0
20001212X21880,Accident,SEA00WA163,2000-08-15,"TESLIN LAKE, CANADA",Canada,,,,,CESSNA 208,Fatal(2),SUBSTANTIAL,Airplane,,CESSNA,208,No,,UNKNOWN,"Non-U.S., Non-Commercial",UNK,PUBLIC AIRCRAFT,,2.0,0.0,0.0,0.0,UNK,NAN,Foreign,18-08-2000,2.0,Small,0
20020201X00156,Accident,CHI00LA312,2000-09-14,"BELLEVILLE, MI",United States,42.236389,-83.5275,YIP,Willow Run Airport,CESSNA 208B,Non-Fatal,SUBSTANTIAL,Airplane,N806BF,CESSNA,208B,No,1.0,TURBOPROP,Part 135: Air Taxi & Commuter,NSCH,NAN,,0.0,0.0,0.0,1.0,VMC,TAKEOFF,Probable Cause,01-02-2016,1.0,Small,0
20010108X00065,Accident,MIA01WA053,2000-12-28,"Rio Sidra, Panama",Panama,,,,,CESSNA 206,Fatal(2),DESTROYED,Airplane,,CESSNA,206,No,,NAN,Unknown,NSCH,NAN,,2.0,0.0,0.0,0.0,IMC,NAN,Foreign,,2.0,Small,1
20010116X00306,Accident,MIA01LA059,2001-01-07,"PARKTON, NC",United States,,,35W,Southern Comforts Aerodrome,CESSNA 182A,Non-Fatal,SUBSTANTIAL,Airplane,N5883B,CESSNA,182A,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,0.0,0.0,0.0,1.0,VMC,DESCENT,Probable Cause,10-12-2014,1.0,Small,0
20010131X00375,Accident,MIA01WA063,2001-01-25,"Augeburg, Germany",Germany,,,,,PIPER PA-34-200T,Fatal(4),DESTROYED,Airplane,N747AG,PIPER,PA-34-200T,No,,NAN,Part 91: General Aviation,,NAN,,4.0,1.0,0.0,0.0,IMC,NAN,Foreign,,5.0,Small,1
20010206X00402,Accident,LAX01WA084,2001-01-26,"Newman, Australia",Australia,-23.811667,119.803333,,,CESSNA 310R,Fatal(4),DESTROYED,Airplane,,CESSNA,310R,No,,NAN,"Non-U.S., Non-Commercial",,PUBLIC AIRCRAFT,,4.0,0.0,0.0,0.0,VMC,NAN,Foreign,,4.0,Small,1
20010305X00538,Accident,MIA01WA087,2001-02-24,"HIGUEROTE, Venezuela",Venezuela,10.4625,-66.0775,,,CESSNA 206,Fatal(7),DESTROYED,Airplane,,CESSNA,206,No,,NAN,Part 91: General Aviation,,NAN,,7.0,0.0,0.0,0.0,VMC,NAN,Foreign,,7.0,Small,1
20010330X00683,Accident,NYC01WA090,2001-03-22,"ORLEANS, FRANCE",France,,,,,PIPER PA-31-350,Non-Fatal,SUBSTANTIAL,Airplane,,PIPER,PA-31-350,No,,NAN,Unknown,NSCH,NAN,,0.0,0.0,0.0,9.0,VMC,NAN,Foreign,25-06-2009,9.0,Small,0
20010412X00732,Accident,MIA01WA111,2001-04-05,"LAS MAJAGUAS, VENEZUELA",Venezuela,,,,,BEECH 200,Non-Fatal,SUBSTANTIAL,Airplane,,BEECH,200,No,,NAN,Part 129: Foreign,NSCH,NAN,,0.0,0.0,1.0,8.0,VMC,NAN,Foreign,,9.0,Small,0
20010502X00855,Accident,NYC01WA100,2001-04-13,"Sulmona, Italy",Italy,,,,,CESSNA 182,Fatal(4),DESTROYED,Airplane,,CESSNA,182,No,,NAN,"Non-U.S., Non-Commercial",,PERSONAL,,4.0,0.0,0.0,0.0,,NAN,Foreign,,4.0,Small,1
20010502X00849,Accident,NYC01WA104,2001-04-22,"Saint Mamet, France",France,,,,,MOONEY M20E,Fatal(3),DESTROYED,Airplane,N200YS,MOONEY,M20E,No,1.0,RECIPROCATING,"Non-U.S., Non-Commercial",,UNKNOWN,,3.0,0.0,0.0,0.0,,NAN,Foreign,29-12-2008,3.0,Small,1
